Ice-shelf,bn,T0,S0,Tn,Sn,dT,dS,q,m,m_obs,m_unc
Larsen C,3,-1.33,34.6,-2.02,34.28,-0.69,-0.32,0.16,0.76,0.45 ,1.00
Wilkins/Stange/Bach/George VI,4,1.17,34.67,-1.41,33.48,-2.58,-1.19,0.32,9.5,1.46 ,1.00
PineIsland,2,0.46,34.55,-0.49,34.12,-0.94,-0.44,0.17,16.15,16.20 ,1.00
Thwaites,2,0.46,34.55,-0.62,34.06,-1.07,-0.50,0.13,14.55,17.73 ,1.00
Getz,3,-0.37,34.41,-1.63,33.83,-1.26,-0.58,0.23,7.04,4.26 ,0.40
Drygalski,3,-1.84,34.78,-2.03,34.69,-0.19,-0.09,0.02,0.69,3.27 ,0.50
Cook,2,-1.62,34.58,-1.94,34.43,-0.32,-0.15,0.05,2.63,1.33 ,1.00
Ninnis,2,-1.62,34.58,-1.88,34.45,-0.26,-0.12,0.04,3.63,1.17 ,2.00
Mertz,3,-1.62,34.58,-1.99,34.4,-0.38,-0.17,0.04,1.46,1.43 ,0.60
Totten,2,-0.68,34.57,-1.26,34.29,-0.59,-0.27,0.13,9.9,10.47 ,0.70
Shackleton,3,-1.69,34.48,-2.03,34.32,-0.34,-0.16,0.07,0.42,2.78 ,0.60
West,2,-1.69,34.48,-2.01,34.33,-0.32,-0.15,0.07,1.17,1.74 ,0.70
Amery,3,-1.72,34.53,-2.16,34.33,-0.43,-0.20,0.16,0.55,0.58 ,0.40
Baudouin,3,-1.55,34.33,-2.06,34.09,-0.51,-0.23,0.12,0.5,0.43 ,0.40
Fimbul,3,-1.57,34.32,-2.06,34.1,-0.49,-0.23,0.1,0.56,0.57 ,0.20
Riiser-Larsen,3,-1.66,34.53,-2.06,34.34,-0.40,-0.19,0.09,0.43,0.20 ,0.20
Stancomb/Brunt,3,-1.66,34.53,-2.01,34.37,-0.35,-0.16,0.08,0.35,0.03 ,0.20
FilchnerRonne,5,-1.76,34.65,-2.19,34.45,-0.43,-0.20,0.21,0.06,0.32 ,0.10
Ross,5,-1.58,34.63,-2.12,34.38,-0.53,-0.25,0.17,0.06,0.10 ,0.10